,id,text,predicted,actual
0,1476231549595050000,help cashpoint bethnal green road gave managed get last stuckcouldve branch closed going away wale tomorrowanybody else similar problem cashpoint amp new note,Negative,Neutral
1,1475537284577560000,tree least given investment industry damage destroy environment climatecrisis greenwashing,Negative,Negative
2,1476412395031610000,wait climatecrisis climateaction,Negative,Neutral
3,1476206584254580000,announced successful test token digital wallet settlement two cbdcs cloud environment experiment consisted transaction cbdcs ebonds forex,Neutral,Positive
4,1476077775664600000,information fund backhand index pointing right eydk etkiyatırımıdanışmakurulu etkiyatırımı etkiyatırımıtürkiye impactinvestingadvisoryboard impinv impactinvestingturkey hsbcturkey,Neutral,Neutral
5,1476597396486430000,face tear joy face tear joy face tear joy face tear joy dont fool anyone green washing crap,Negative,Positive
6,1476479420466550000,zeropollution future need innovation need greenfinance expert worked devise lowcarbon riskreward investment assessment page,Neutral,Neutral
7,1476337080846460000,course need fit need there one stand eco mob worthless nothing giving government advice scam u better stop using phrase going start communist revolution dumbass,Negative,Negative
8,1476328496163080000,financed u billion fossil fuel since paris climate agreement signed dont fall greenwash read,Negative,Positive
9,1476193797046510000,one bright spot cop prioritization nature mean business amp investor part climate solution partnership amp list key barrier must tackle scale naturebasedsolutions,Neutral,Positive
10,1475919497047560000,new program supplier set least three sustainability goal working towards degree celsius target get access financing,Neutral,Neutral
11,1475850471386590000,dr chow put local insight key successful esg engagement lot india transition access healthcare inclusive growth assetmanagement asia,Neutral,Positive
12,1475800271779410000,published inaugural scorecard evaluating top eu amp u asset manager climate policy time examining coal commitment amp still laggard today,Negative,Positive
13,1476812316893140000,home account uk co emission amp energy use demand highquality home increase need decrease resulting carbon emission greenhomes research look incentive homeowner take action,Neutral,Positive
14,1476147483550040000,choice value value strong performance esg indicator make business sense company begin integrating social amp sustainable principle operation might help,Positive,Positive
15,1476137573735180000,approach redevelopment residential property one major challenge decade im proud commissioning research greenhomes also offering incentive personal amp commercial homeowner,Positive,Positive
16,1476235094440490000,vital thinking esg limited ecofriendly good governance amp inclusive recruitment important interesting piece highlight business address element esg,Positive,Positive
17,1476836357410410000,fund manager need create engagement strategy clear target amp escalation process achieve ambition going netzero recycling symbol net zero investing quick win via fintech climate decarbonization,Neutral,Positive
18,1476625463099470000,six week fa published strategy aim professional sustainable woman team amp six day announced first title sponsor went liquidation,Neutral,Neutral
19,1476920287031560000,naturebased solution might missing element need invested today achieve netzero goal tomorrow seedling reaching netzero power nature via fintech climate,Neutral,Neutral
20,1475790128995910000,paid internship opportunity megaphone eagle csr programme could help gain paid internship csr department global organisation past qmul participant secured permanent role find right arrow,Positive,Positive
21,1476488500187110000,milly impact sub high voltage high voltage,Neutral,Neutral
22,1475183807032700000,bank commiting ecocide balochistan funding cpec china pakistan economic cooridor project hazardous ecosystem indeginous community,Negative,Neutral
23,1475800274837150000,year uk hosted cop shone light city london coal exposure revealed huge backing highly polluting fossil fuel new policy failed fully halt,Negative,Neutral
24,1475622524381800000,government health city transportation energy backed powerful data engine planet bloomberg green focused solution center sponsored amp learn,Positive,Positive
25,1476500837476220000,naturebased solution mitigate climate change effect agricultural sector market imperfection persist,Neutral,Neutral
26,1476134109969880000,many r still away getting safe water drink however supana village changed access safe drinking water facility blessed community welcomed joining inauguration ceremony amp enrolling membership card,Positive,Positive
27,1476213953067990000,backdrop enormous change uk banking environment able translate strategy delivery see,Positive,Neutral
28,1475815298410360000,confetti ball together inspired action towards building confidence number numberconfidenceweek blue heart big thanks everyone made possible read impact report backhand index pointing right,Positive,Positive
29,1476144477714720000,hate green mess everything,Negative,Negative
30,1476117377473520000,look nice hopefully mission winnow team name mean wont hideous green thing car also dual color idea wasnt bad execution shift sudden wouldnt mind burgundy back transition smoother,Negative,Positive
31,1475929145968320000,mgreenfluo red love,Positive,Positive
32,1476815662873990000,wow customer obviously important others asked question morning reply knew going massive impact today day many time going issue compensate,Negative,Positive
33,1476813921826790000,angry anyway angry people kid feed bill pay massive impact,Negative,Negative
34,1475255211006560000,chart demonstrates people around world choose invest sustainableinvestment product dont chart global investor study rise sustainable investor find chart esg,Neutral,Neutral
35,1476961349133500000,latest ecosystem report explores inclusion diverse founder must pursued intentionally order ensure equitable opportunity learn access report supported,Neutral,Positive
36,1476656960351080000,risk mitigation dept scared raising hand mediumlight skin tone,Negative,Neutral
37,1476600756278990000,wondering great indian economy amp wedding season impact gold demand versus whether see precious metal trading conviction next year gold,Neutral,Positive
38,1475477246060110000,public consistently supported additional mitigation prioritizing public health,Positive,Neutral
39,1475092455406060000,environment real frugal avatar splurge de always need send home address real merch u use would ratio real virtual,Neutral,Neutral
40,1475092026492430000,environment shift waste world metaverse avatar walk closet filled fast fashion human foot satisfied one pair metaverse save planet curving plastic polyester pollution,Neutral,Neutral
41,1475044620266520000,frodo tech frdx financial blockchain ecosystem provide customer financial service globally without limitation race region find information please visit frodo tech website backhand index pointing backhand index pointing backhand index pointing,Neutral,Neutral
42,1475808391683580000,know small business entrepreneur ready build legacy circular economy direct time build profitable lasting green business good world,Positive,Positive
43,1475759063778610000,dyk le waste cycle back economy circulareconomy reduce amount waste ending dump right support circular economy entrepreneur hold key turn tragedy triumphgtgt,Positive,Negative
44,1475603030594710000,never knew major bank like chase contributes much co atmosphere warren urge crackdown wall street climate change read web tap,Neutral,Neutral
45,1475563128721230000,problem amc hasnt gone back level market dropping others making new ath back break even dip there still amc bear green may took short position break pennant,Neutral,Neutral
46,1475549901417330000,think said none thing another leaving tell come desert got sick water front property sure love,Positive,Neutral
47,1476772395985760000,chase esg relevance sooner think,Negative,Neutral
48,1476134656030430000,jamie dimon said dedicated addressing climate sustainability around world yet made fee helping fossilfuel company green bond sale greenwashing climatechange fossilfuels capitalatrisk,Negative,Positive
49,1476069737557860000,sustainability trend may rise fall esg investing stay insightful article tara smyth regional head middle east north africa amp turkey esg investing featured national news read,Positive,Neutral
50,1476946255079220000,last month esgi hosted roundtable discussing impact cop insight,Neutral,Neutral
51,1475496699044920000,last month esgi hosted roundtable discussing impact cop insight,Neutral,Neutral
52,1475522982655110000,jp morgan chase helping finance climate catastrophe year,Negative,Neutral
53,1475300897148180000,career path climate science rapidly widening including learned seeking expert california whiplash snowpack found kapnickhall,Neutral,Neutral
54,1476724058234530000,tn market value mn user digital asset universe large ignore digital asset ecosystem much nfts valiirtech,Negative,Positive
55,1476472841939920000,stop promoting greediest crook one worst climatecrisis disproportionately impact bipoc community,Negative,Negative
56,1475860631605580000,teacher make significant impact role model child grant support expands effort improve educational outcome student color minnesota,Positive,Positive
57,1475611094756510000,sorry one biggest funder climatecrisis like youre really sorry wait time,Negative,Neutral
58,1475258128518330000,friend accepting application student leader summer internship program must current high school junior senior apply,Positive,Positive
59,1474486803545540000,teacher make significant impact role model child grant support expands effort improve educational outcome student color minnesota,Positive,Positive
60,1476721218745030000,always something way finish lunch salad grilled lemon pepper chicken brown rice steamed broccoli green tea still hold credit union sounding real nice right,Negative,Positive
61,1476715973734400000,fix roof puerta real mission viejo ca atm water leak onto check try deposit top cut person service ridiculous,Negative,Negative
62,1476513580539430000,happy new year eve advance wondering idea make money here picture idea art future global warming solar energy water well make lot money people dome house,Neutral,Positive
63,1476111997418750000,congrats friend receiving k neighborhood builder grant year grant support programming expansion building diverse tech ecosystem innovationliveshere inclusionliveshere,Positive,Positive
64,1475957318684600000,damn thought draymond green whole time,Neutral,Neutral
65,1475931849813750000,im consumer california climate crisis green economy solution please stop lending big polluter go allin renewable energy clean technology planetsaving project,Positive,Neutral
66,1475652861115700000,getting bit winter week captain america winter soldier miss feature screen green thursday december pm,Positive,Neutral
67,1475242601368280000,please include climate target clear commitment end support company project engaged expansion fossil fuel industry please part keep global warming c save earth,Neutral,Positive
68,1475095362394280000,im consumer louisiana climate crisis green economy solution please stop lending big polluter go allin renewable energy clean technology planetsaving project,Positive,Neutral
69,1476282231840810000,philanthropy news award million nativeamerican community grant include million nonprofit institution providing critical service read via,Neutral,Positive
70,1475451512814020000,forget nature deciduous tree deciduous tree speaking head managing director sounding balancing environmental transition net zero watch full dfnyc recap,Neutral,Neutral
71,1475274197534340000,career path building digital prison create money research pay play social impact investing human capital finance amp freedom v tyranny u,Negative,Positive
72,1474713081670470000,likely complicit disillusionment citizenry nefarious reason may certainly embody value mental defect human nature invariable,Negative,Neutral
73,1475865887173490000,support hire hero usa empowers thousand veteran military spouse secure meaningful employment year donate end year gift matched double impact give,Positive,Positive
74,1475847110222350000,wait poor people basically shellfish money ecosystem get trickle em filter send right back chain,Negative,Neutral
75,1476215438216500000,register launch presented hear economist ted abernathy ted discus regional growth amp share comparison peer metro register rclaunch growth development economy,Neutral,Positive
76,1476904229486960000,climate action take money bag big bank support fossil fuel put money bag local bankcredit union big bank drop get involved bug bank third act,Neutral,Neutral
77,1476673350965540000,country climate emergency marshallfire nye fjbiden,Negative,Neutral
78,1476516635599120000,crip camp felt bullied bunch walker sat wheelchair room without food water prove point little sleep picking twitter war youll ignore like email run,Negative,Negative
79,1476261049925970000,divest well fargo fund climate change,Negative,Neutral
80,1475988698927810000,bank amp want something funding corporation destroying climate here,Negative,Negative
81,1475931944370140000,im consumer california climate crisis green economy solution please stop lending big polluter go allin renewable energy clean technology planetsaving project,Positive,Neutral
82,1475909166459930000,please include climate target clear commitment end support company project engaged expansion fossil fuel industry please part keep global warming c save earth,Neutral,Positive
83,1475480679408410000,bank amp want something funding corporation destroying climate here,Neutral,Negative
84,1475302348629190000,customer tired money used invest destruction plant join signingon letter bank ceo demand bank stop funding climate chaos,Negative,Negative
85,1475287374041020000,bank amp want something funding corporation destroying climate here,Negative,Negative
86,1475180084336250000,bank amp want something funding corporation destroying climate here,Negative,Negative
87,1475095430383950000,im consumer louisiana climate crisis green economy solution please stop lending big polluter go allin renewable energy clean technology planetsaving project,Positive,Neutral
88,1474865622064550000,bank amp want something funding corporation destroying climate here,Negative,Negative
89,1475044219999900000,frodo tech frdx financial blockchain ecosystem provide customer financial service globally without limitation race region find information please visit frodo tech website backhand index pointing backhand index pointing backhand index pointing,Neutral,Neutral
90,1475043898334540000,frodo tech frdx financial blockchain ecosystem provide customer financial service globally without limitation race region find information please visit frodo tech website backhand index pointing backhand index pointing backhand index pointing,Neutral,Neutral
91,1476823148209310000,still pathology,Neutral,Neutral
92,1476598792380160000,thanks amp foundation trained youth algeria digital employability soft technical amp entrepreneurship skill piloted training green sector like waste management building rehabilitation aquaculture amp solar energy,Positive,Positive
93,1476214543990890000,esg investing financial market climate transition new comment,Neutral,Neutral
94,1475981896001720000,know amp among biggest funders prohibited fossil fuel project police car light world would rather use money fight climate change fund go towards climate positive project watmos,Negative,Neutral
95,1475934975421810000,looking bank socially amp environmentally responsible investing billion dollar renewable energy project around world,Negative,Positive
96,1475922045514960000,something good world today completely divest fossil fuel funnel money renewable energy project,Positive,Positive
97,1475680508382260000,nyc huge climate pollution footprint bigger country wall street bank headquartered nyc much much larger polluter get control stopthemoneypipeline cc,Negative,Neutral
98,1475481669855540000,usadf grantee promotes environmental sustainability also empowers unemployed woman amp youth nigeria grant purchase bailers recycling program increased revenue contributing reduction pollution,Positive,Positive
